node,degree,tx_msgs,rx_msgs,tx_bytes,rx_bytes,cpu_time_s,radio_time_s,battery_remaining_mJ,beacon_multiplier_final,energy_used_mJ,cpu_energy_mJ
77,9,81,544,3312,23696,0.15705,0.864256,4953.96,1,46.039999999999964,2.3557499999999996
78,15,85,917,3440,40048,0.25075,1.391616,4942.93,1,57.06999999999971,3.7612499999999995
79,16,88,978,3536,42720,0.26715,1.480192,4940.32,1,59.68000000000029,4.007249999999999
80,11,101,672,4072,29196,0.1935,1.064576,4944.38,1,55.61999999999989,2.9025000000000003
81,13,85,792,3440,34548,0.2201,1.215616,4947.25,1,52.75,3.3015
82,11,89,678,3568,29508,0.1925,1.058432,4950.49,1,49.51000000000022,2.8874999999999997
83,21,90,1262,3600,55180,0.3385,1.88096,4936.86,1,63.14000000000033,5.077500000000001
84,10,83,607,3376,26444,0.1729,0.95424,4951.17,1,48.82999999999993,2.5934999999999997
85,8,79,491,3248,21388,0.14265,0.788352,4954.76,1,45.23999999999978,2.13975
86,18,78,1081,3216,47348,0.2899,1.618048,4941.79,1,58.210000000000036,4.3485
87,14,87,850,3504,37076,0.235,1.29856,4945.66,1,54.340000000000146,3.5249999999999995
88,17,83,1029,3376,45012,0.279,1.548416,4940.44,1,59.5600000000004,4.1850000000000005
89,9,84,551,3408,23968,0.1594,0.876032,4953.42,1,46.57999999999993,2.391
90,18,91,1084,3632,47336,0.29465,1.630976,4940.05,1,59.94999999999982,4.4197500000000005
91,8,82,491,3344,21364,0.1439,0.790656,4955.49,1,44.51000000000022,2.1584999999999996
92,17,80,1034,3280,45256,0.27915,1.553152,4942.32,1,57.68000000000029,4.18725
93,15,82,908,3344,39688,0.2476,1.377024,4944.32,1,55.68000000000029,3.714
94,17,83,1028,3376,44968,0.27815,1.547008,4942.04,1,57.960000000000036,4.17225
95,10,87,612,3504,26640,0.1755,0.964608,4953.31,1,46.6899999999996,2.6325
96,13,81,785,3312,34300,0.217,1.203584,4947.1,1,52.899999999999636,3.2549999999999994
97,22,85,1318,3440,57692,0.35055,1.956224,4934.71,1,65.28999999999996,5.258249999999999
98,11,88,675,3536,29364,0.1913,1.0528,4949.44,1,50.5600000000004,2.8694999999999995
99,15,80,905,3280,39592,0.24665,1.371904,4945.85,1,54.149999999999636,3.69975
